Family,Gene_ID
CTR9,gene-MN116_001505
CUL1,gene-MN116_000680
CUL1,gene-MN116_000941
CUL2,gene-MN116_000680
CUL2,gene-MN116_000941
CUL3,gene-MN116_000680
CUL3,gene-MN116_000941
CUL4A,gene-MN116_000680
CUL4A,gene-MN116_000941
CUL4B,gene-MN116_000680
CUL4B,gene-MN116_000941
CUL5,gene-MN116_000680
CUL5,gene-MN116_000941
CXXC1,gene-MN116_001257
CXXC1,gene-MN116_007513
CXXC1,gene-MN116_006397
DAPK3,gene-MN116_001475
DDB1,gene-MN116_000900
DDB1,gene-MN116_000900
DDB2,gene-MN116_000696
DDX17,gene-MN116_001389
DDX17,gene-MN116_001389
DDX21,gene-MN116_001389
DDX21,gene-MN116_001619
DDX21,gene-MN116_001389
DDX50,gene-MN116_001389
DDX50,gene-MN116_001619
DDX50,gene-MN116_001389
DEK,gene-MN116_007767
DEK,gene-MN116_000671
DHX9,gene-MN116_001389
DHX9,gene-MN116_002895
DHX9,gene-MN116_003402
DHX9,gene-MN116_001389
DHX9,gene-MN116_003402
DMAP1,gene-MN116_007971
DNAJC1,gene-MN116_001467
DNAJC1,gene-MN116_001044
DNAJC2,gene-MN116_001467
DNAJC2,gene-MN116_001044
DND1,gene-MN116_004675
DND1,gene-MN116_001479
DNMT3A,gene-MN116_005548
DNMT3A,gene-MN116_002935
DNMT3B,gene-MN116_005548
DNMT3B,gene-MN116_002935
DNTTIP2,gene-MN116_001917
DOT1L,gene-MN116_007929
DPF1,gene-MN116_001257
DPF1,gene-MN116_006760
DPF2,gene-MN116_001257
DPF2,gene-MN116_006760
DPF3,gene-MN116_001257
DPF3,gene-MN116_006760
DPY30,gene-MN116_001320
DR1,gene-MN116_002404
DTX3L,gene-MN116_001361
DZIP3,gene-MN116_001361
EED,gene-MN116_000696
EEF1AKMT3,gene-MN116_001242
EEF1AKMT4,gene-MN116_002471
EEF1AKNMT,gene-MN116_002471
EHMT1,gene-MN116_001474
EHMT1,gene-MN116_001474
EHMT1,gene-MN116_006071
EHMT1,gene-MN116_001377
EHMT2,gene-MN116_001474
EHMT2,gene-MN116_006071
EHMT2,gene-MN116_001377
EIF4A3,gene-MN116_001389
EIF4A3,gene-MN116_001389
ELP2,gene-MN116_000696
ELP3,gene-MN116_002083
ELP3,gene-MN116_001683
ELP4,gene-MN116_000704
ELP5,gene-MN116_001640
ELP6,gene-MN116_008308
ENY2,gene-MN116_000771
EP400,gene-MN116_001315
EP400,gene-MN116_001389
EP400,gene-MN116_001315
ERBB4,gene-MN116_001217
ERBB4,gene-MN116_001217
ERBB4,gene-MN116_001475
ERBB4,gene-MN116_001217
ERCC6,gene-MN116_001389
ERCC6,gene-MN116_001315
EXOSC1,gene-MN116_000816
EXOSC1,gene-MN116_005328
EXOSC2,gene-MN116_000816
EXOSC4,gene-MN116_001439
EXOSC4,gene-MN116_000623
EXOSC5,gene-MN116_001439
EXOSC5,gene-MN116_000623
EXOSC6,gene-MN116_001439
EXOSC7,gene-MN116_001439
EXOSC7,gene-MN116_000623
EXOSC8,gene-MN116_001439
EXOSC8,gene-MN116_000623
EXOSC9,gene-MN116_001439
EXOSC9,gene-MN116_000623
FBL,gene-MN116_003432
GADD45A,gene-MN116_003310
GADD45B,gene-MN116_003310
GADD45G,gene-MN116_003310
GATAD1,gene-MN116_001491
GATAD2B,gene-MN116_001491
GFI1B,gene-MN116_001510
GFI1B,gene-MN116_001510
GSG2,gene-MN116_001475
GSG2,gene-MN116_001475
HAT1,gene-MN116_003684
HCFC1,gene-MN116_001152
HCFC1,gene-MN116_001152
HCFC2,gene-MN116_001152
HCFC2,gene-MN116_001152
HCFC2,gene-MN116_001152
HDAC1,gene-MN116_003426
HDAC10,gene-MN116_003426
HDAC11,gene-MN116_003426
HDAC2,gene-MN116_003426
HDAC3,gene-MN116_003426
HDAC6,gene-MN116_003426
HDAC6,gene-MN116_001583
HDAC7,gene-MN116_003426
HDAC8,gene-MN116_003426
HDGF,gene-MN116_002935
HDGFL2,gene-MN116_002935
HDGFL2,gene-MN116_002935
HELLS,gene-MN116_001389
HELLS,gene-MN116_001315
HIF1AN,gene-MN116_000656
HINFP,gene-MN116_001510
HINFP,gene-MN116_001510
HINFP,gene-MN116_001510
HIRA,gene-MN116_006490
HIRA,gene-MN116_004060
HIRA,gene-MN116_000696
HMG20A,gene-MN116_000658
HMG20B,gene-MN116_000658
HMGB1,gene-MN116_000658
HMGB1,gene-MN116_002514
HNRNPU,gene-MN116_000671
HNRNPU,gene-MN116_001257
HNRPL,gene-MN116_001479
HNRPL,gene-MN116_001149
HP1BP3,gene-MN116_001999
HR,gene-MN116_001728
HSPA1A,gene-MN116_003018
HSPA1A,gene-MN116_003018
HSPA1B,gene-MN116_003018
HSPA1B,gene-MN116_003018
IKBKAP,gene-MN116_004993
IKZF1,gene-MN116_001510
ING1,gene-MN116_003933
ING1,gene-MN116_001257
ING2,gene-MN116_003933
ING2,gene-MN116_001257
ING3,gene-MN116_003933
ING3,gene-MN116_001257
ING4,gene-MN116_003933
ING4,gene-MN116_001257
ING5,gene-MN116_003933
ING5,gene-MN116_001257
INO80,gene-MN116_004219
INO80,gene-MN116_001389
INO80,gene-MN116_001315
INO80C,gene-MN116_001557
JADE1,gene-MN116_005278
JADE1,gene-MN116_002458
JADE1,gene-MN116_001728
JADE2,gene-MN116_005278
JADE2,gene-MN116_002458
JADE2,gene-MN116_001728
JADE3,gene-MN116_005278
JADE3,gene-MN116_001257
JADE3,gene-MN116_001728
JAK2,gene-MN116_001475
JAK2,gene-MN116_001232
JARID2,gene-MN116_002201
JARID2,gene-MN116_001728
JARID2,gene-MN116_001728
JARID2,gene-MN116_003355
JDP2,gene-MN116_001068
JMJD1C,gene-MN116_001728
JMJD6,gene-MN116_001728
KANSL1,gene-MN116_008706
KAT2A,gene-MN116_002083
KAT2A,gene-MN116_001315
KAT2A,gene-MN116_005987
KAT2B,gene-MN116_002083
KAT2B,gene-MN116_001315
KAT2B,gene-MN116_005987
KAT5,gene-MN116_000903
KAT5,gene-MN116_002201
KAT6A,gene-MN116_000903
KAT6A,gene-MN116_001257
KAT6B,gene-MN116_001999
KAT6B,gene-MN116_000903
KAT6B,gene-MN116_001257
KAT7,gene-MN116_000903
KAT7,gene-MN116_001495
KAT8,gene-MN116_000903
KAT8,gene-MN116_002201
KDM1A,gene-MN116_001493
KDM1A,gene-MN116_000845
KDM1B,gene-MN116_001493
KDM1B,gene-MN116_000845
KDM2A,gene-MN116_000820
KDM2A,gene-MN116_001728
KDM2A,gene-MN116_007513
KDM2B,gene-MN116_000656
KDM2B,gene-MN116_000820
KDM2B,gene-MN116_007513
KDM3A,gene-MN116_001728
KDM3B,gene-MN116_001728
KDM4A,gene-MN116_001728
KDM4A,gene-MN116_001728
KDM4A,gene-MN116_002458
KDM4A,gene-MN116_001728
KDM4B,gene-MN116_001728
KDM4B,gene-MN116_001728
KDM4B,gene-MN116_002458
KDM4B,gene-MN116_001728
KDM4C,gene-MN116_001728
KDM4C,gene-MN116_001728
KDM4C,gene-MN116_002458
KDM4C,gene-MN116_001728
KDM4D,gene-MN116_001728
KDM4D,gene-MN116_001728
KDM4E,gene-MN116_001728
KDM4E,gene-MN116_001728
KDM5A,gene-MN116_002201
KDM5A,gene-MN116_001728
KDM5A,gene-MN116_001728
KDM5A,gene-MN116_001257
KDM5A,gene-MN116_004878
KDM5A,gene-MN116_003355
KDM5B,gene-MN116_002201
KDM5B,gene-MN116_001728
KDM5B,gene-MN116_001728
KDM5B,gene-MN116_001257
KDM5B,gene-MN116_004878
KDM5B,gene-MN116_003355
KDM5C,gene-MN116_002201
KDM5C,gene-MN116_001728
KDM5C,gene-MN116_001728
KDM5C,gene-MN116_001257
KDM5C,gene-MN116_004878
KDM5C,gene-MN116_003355
KDM5D,gene-MN116_002201
KDM5D,gene-MN116_001728
KDM5D,gene-MN116_001728
KDM5D,gene-MN116_001257
KDM5D,gene-MN116_004878
KDM5D,gene-MN116_003355
KDM6A,gene-MN116_001728
KDM6A,gene-MN116_001358
KDM6A,gene-MN116_001341
KDM6A,gene-MN116_001358
KDM6B,gene-MN116_001728
KDM7A,gene-MN116_001257
KDM7A,gene-MN116_001728
KDM8,gene-MN116_000656
KEAP1,gene-MN116_001152
KEAP1,gene-MN116_001152
KEAP1,gene-MN116_001152
KMT2A,gene-MN116_002850
KMT2A,gene-MN116_002850
KMT2A,gene-MN116_001257
KMT2A,gene-MN116_001377
KMT2A,gene-MN116_007513
KMT2A,gene-MN116_001728
KMT2B,gene-MN116_002850
KMT2B,gene-MN116_002850
KMT2B,gene-MN116_001257
KMT2B,gene-MN116_001377
KMT2B,gene-MN116_007513
KMT2B,gene-MN116_001728
KMT2C,gene-MN116_002850
KMT2C,gene-MN116_002850
KMT2C,gene-MN116_001257
KMT2C,gene-MN116_001377
KMT2C,gene-MN116_001728
KMT2D,gene-MN116_002850
KMT2D,gene-MN116_002850
KMT2D,gene-MN116_001257
KMT2D,gene-MN116_001377
KMT2D,gene-MN116_001728
KMT2E,gene-MN116_001257
KMT2E,gene-MN116_001377
L3MBTL1,gene-MN116_001495
L3MBTL1,gene-MN116_001495
L3MBTL1,gene-MN116_001495
L3MBTL2,gene-MN116_001495
L3MBTL3,gene-MN116_001495
L3MBTL3,gene-MN116_001495
L3MBTL4,gene-MN116_001495
L3MBTL4,gene-MN116_001495
L3MBTL4,gene-MN116_001495
LAS1L,gene-MN116_001705
LEO1,gene-MN116_002968
LRWD1,gene-MN116_000985
LRWD1,gene-MN116_000696
MAP3K7,gene-MN116_001475
MAPKAPK3,gene-MN116_001475
MASTL,gene-MN116_001475
MAX,gene-MN116_001502
MAZ,gene-MN116_001510
MAZ,gene-MN116_001510
MAZ,gene-MN116_001510
MBD1,gene-MN116_005459
MBD1,gene-MN116_007513
MBD2,gene-MN116_005459
MBD2,gene-MN116_005459
MBD3,gene-MN116_005459
MBD3,gene-MN116_005459
MBD4,gene-MN116_003836
MBD4,gene-MN116_005459
MBNL1,gene-MN116_000980
MBNL3,gene-MN116_000980
MBTD1,gene-MN116_001495
MCRS1,gene-MN116_001343
MCRS1,gene-MN116_005440
MDC1,gene-MN116_001343
MEAF6,gene-MN116_004969
MECP2,gene-MN116_005459
MEN1,gene-MN116_002428
METTL11B,gene-MN116_004378
METTL14,gene-MN116_007901
METTL16,gene-MN116_004828
METTL21A,gene-MN116_001242
METTL3,gene-MN116_007901
METTL4,gene-MN116_007901
MGA,gene-MN116_001502
MGA,gene-MN116_004371
MGEA5,gene-MN116_003346
MINA,gene-MN116_000656
MIS18A,gene-MN116_001250
MLLT1,gene-MN116_001871
MLLT10,gene-MN116_002458
MLLT10,gene-MN116_001728
MLLT6,gene-MN116_001728
MORF4L1,gene-MN116_003505
MORF4L1,gene-MN116_002201
MORF4L2,gene-MN116_003505
MPHOSPH8,gene-MN116_001474
MPHOSPH8,gene-MN116_001223
MRGBP,gene-MN116_003916
MSH6,gene-MN116_000844
MSH6,gene-MN116_000844
MSH6,gene-MN116_000844
MSH6,gene-MN116_000842
MSH6,gene-MN116_000842
MSH6,gene-MN116_002935
MSL1,gene-MN116_008706
MSL3,gene-MN116_003505
MSL3,gene-MN116_002201
MST1,gene-MN116_008377
MST1,gene-MN116_003235
MST1,gene-MN116_003274
MTA1,gene-MN116_000758
MTA1,gene-MN116_001382
MTA1,gene-MN116_001491
MTA2,gene-MN116_000758
MTA2,gene-MN116_001382
MTA2,gene-MN116_001491
MTA3,gene-MN116_000758
MTA3,gene-MN116_001382
MTA3,gene-MN116_001491
MYBBP1A,gene-MN116_003844
MYSM1,gene-MN116_001708
MYSM1,gene-MN116_001044
MYSM1,gene-MN116_000845
NAA60,gene-MN116_002083
NAP1L1,gene-MN116_002094
NAP1L2,gene-MN116_002094
NAP1L4,gene-MN116_002094
NASP,gene-MN116_001875
NASP,gene-MN116_001358
NAT10,gene-MN116_003168
NAT10,gene-MN116_003168
NAT10,gene-MN116_003168
NAT10,gene-MN116_003168
NAT10,gene-MN116_003168
NAT10,gene-MN116_003168
NAT10,gene-MN116_003168
NAT10,gene-MN116_003168
NCL,gene-MN116_001479
NCOR1,gene-MN116_001044
NCOR2,gene-MN116_001044
NEK6,gene-MN116_001475
NEK9,gene-MN116_001475
NEK9,gene-MN116_002387
NFYB,gene-MN116_002404
NFYC,gene-MN116_002404
NIPBL,gene-MN116_001591
NIPBL,gene-MN116_001591
NOC2L,gene-MN116_004483
NPAS2,gene-MN116_001502
NPAS2,gene-MN116_001502
NPAS2,gene-MN116_001502
NPM2,gene-MN116_000904
NSD1,gene-MN116_001257
NSD1,gene-MN116_002935
NSD1,gene-MN116_001377
NSRP1,gene-MN116_005534
NSUN2,gene-MN116_000779
NSUN6,gene-MN116_000779
NTMT1,gene-MN116_004378
NUP98,gene-MN116_004903
NUP98,gene-MN116_004903
OGT,gene-MN116_006805
OGT,gene-MN116_001358
OGT,gene-MN116_001358
OGT,gene-MN116_001358
OIP5,gene-MN116_001250
PAF1,gene-MN116_001755
PAGR1,gene-MN116_005056
PAK2,gene-MN116_002477
PAK2,gene-MN116_001475
PARG,gene-MN116_001256
PARP1,gene-MN116_001060
PARP1,gene-MN116_008345
PARP1,gene-MN116_000747
PARP1,gene-MN116_000747
PARP1,gene-MN116_000747
PARP1,gene-MN116_008345
PARP2,gene-MN116_000747
PARP2,gene-MN116_000747
PARP2,gene-MN116_000747
PARP3,gene-MN116_000747
PARP3,gene-MN116_000747
PARP3,gene-MN116_000747
PAXIP1,gene-MN116_001060
PAXIP1,gene-MN116_002143
PBK,gene-MN116_001475
PBRM1,gene-MN116_000758
PBRM1,gene-MN116_001315
PBRM1,gene-MN116_000658
PCGF1,gene-MN116_001351
PCGF2,gene-MN116_001351
PCGF3,gene-MN116_001351
PCGF5,gene-MN116_001351
PCGF6,gene-MN116_001351
PDP1,gene-MN116_001429
PHC2,gene-MN116_001495
PHC3,gene-MN116_001495
PHF10,gene-MN116_001257
PHF12,gene-MN116_001257
PHF13,gene-MN116_001257
PHF14,gene-MN116_001257
PHF14,gene-MN116_001728
PHF2,gene-MN116_001728
PHF2,gene-MN116_001257
PHF8,gene-MN116_001728
PHF8,gene-MN116_001257
PHIP,gene-MN116_001315
PHIP,gene-MN116_000696
PIWIL4,gene-MN116_003301
PIWIL4,gene-MN116_003301
PKM,gene-MN116_002792
PKM,gene-MN116_002792
PKN1,gene-MN116_003149
PKN1,gene-MN116_001475
PKN1,gene-MN116_001416
POGZ,gene-MN116_005219
POGZ,gene-MN116_005219
POLE3,gene-MN116_002404
PPARGC1A,gene-MN116_001479
PPM1G,gene-MN116_001429
PPP2CA,gene-MN116_001006
PPP4C,gene-MN116_001006
PPP4R2,gene-MN116_003888
PRDM1,gene-MN116_001377
PRDM1,gene-MN116_001510
PRDM12,gene-MN116_001510
PRDM13,gene-MN116_001510
PRDM13,gene-MN116_001510
PRDM14,gene-MN116_001377
PRDM14,gene-MN116_001510
PRDM14,gene-MN116_001510
PRDM14,gene-MN116_001510
PRDM16,gene-MN116_001510
PRDM16,gene-MN116_001510
PRDM16,gene-MN116_001510
PRDM2,gene-MN116_001377
PRDM2,gene-MN116_001510
PRDM2,gene-MN116_001510
PRDM4,gene-MN116_001510
PRDM4,gene-MN116_001510
PRDM5,gene-MN116_001510
PRDM5,gene-MN116_001510
PRDM5,gene-MN116_001494
PRDM5,gene-MN116_001510
PRDM5,gene-MN116_001494
PRDM6,gene-MN116_001377
PRDM6,gene-MN116_001510
PRDM6,gene-MN116_001510
PRDM6,gene-MN116_001510
PRDM8,gene-MN116_001510
PRKAA1,gene-MN116_001475
PRKAA2,gene-MN116_001475
PRKAB1,gene-MN116_002213
PRKAB2,gene-MN116_002213
PRKAG1,gene-MN116_001874
PRKAG2,gene-MN116_001874
PRKAG3,gene-MN116_001874
PRKCA,gene-MN116_001416
PRKCA,gene-MN116_001503
PRKCA,gene-MN116_001475
PRKCA,gene-MN116_001416
PRKCB,gene-MN116_001416
PRKCB,gene-MN116_001503
PRKCB,gene-MN116_001475
PRKCB,gene-MN116_001416
PRKCD,gene-MN116_001416
PRKCD,gene-MN116_001475
PRKCD,gene-MN116_001416
PRMT1,gene-MN116_001978
PRMT2,gene-MN116_002471
PRMT2,gene-MN116_001170
PRMT5,gene-MN116_002471
PRMT7,gene-MN116_002471
PRMT8,gene-MN116_002471
PRMT9,gene-MN116_002471
PRMT9,gene-MN116_001358
PSIP1,gene-MN116_002935
PSIP1,gene-MN116_002935
PTBP1,gene-MN116_001479
PTBP1,gene-MN116_001149
PTBP1,gene-MN116_001479
PTBP1,gene-MN116_001149
PUF60,gene-MN116_001479
RAD51,gene-MN116_000919
RAD51,gene-MN116_004376
RAD54B,gene-MN116_001389
RAD54B,gene-MN116_001315
RAD54L,gene-MN116_001389
RAD54L,gene-MN116_001893
RAD54L,gene-MN116_001315
RAD54L2,gene-MN116_001389
RAD54L2,gene-MN116_001315
RAI1,gene-MN116_001728
RARA,gene-MN116_002432
RARA,gene-MN116_001143
RBBP4,gene-MN116_001082
RBBP4,gene-MN116_000696
RBBP5,gene-MN116_000696
RBBP7,gene-MN116_001082
RBBP7,gene-MN116_000696
RBM11,gene-MN116_001479
RBM15,gene-MN116_001479
RBM15,gene-MN116_003046
RBM15B,gene-MN116_001479
RBM15B,gene-MN116_003046
RBM17,gene-MN116_002455
RBM17,gene-MN116_001479
RBM24,gene-MN116_001479
RBM25,gene-MN116_003097
RBM25,gene-MN116_001479
RBM4,gene-MN116_001479
RBM4,gene-MN116_002148
RBM5,gene-MN116_002455
RBM5,gene-MN116_004721
RBM5,gene-MN116_001479
RBM5,gene-MN116_001528
RBM7,gene-MN116_001479
RBM8A,gene-MN116_001479
RBX1,gene-MN116_001351
RCC1,gene-MN116_002387
RCOR1,gene-MN116_001382
RCOR1,gene-MN116_001044
RCOR3,gene-MN116_001382
RCOR3,gene-MN116_001044
REST,gene-MN116_001510
REST,gene-MN116_001510
RING1,gene-MN116_001351
RLIM,gene-MN116_001361
RMI1,gene-MN116_004443
RNF168,gene-MN116_001351
RNF2,gene-MN116_001351
RNF20,gene-MN116_001351
RNF40,gene-MN116_001351
RNF8,gene-MN116_001343
RNF8,gene-MN116_001361
RNPS1,gene-MN116_001479
RPS6KA3,gene-MN116_001475
RPS6KA3,gene-MN116_001416
RPS6KA4,gene-MN116_001475
RPS6KA4,gene-MN116_001416
RPS6KA5,gene-MN116_001475
RPS6KA5,gene-MN116_001416
RPUSD3,gene-MN116_004769
RRP8,gene-MN116_004764
RUVBL1,gene-MN116_002176
RUVBL2,gene-MN116_002176
RYBP,gene-MN116_001528
SAP18,gene-MN116_008400
SATB1,gene-MN116_003965
SATB1,gene-MN116_001280
SATB2,gene-MN116_003965
SATB2,gene-MN116_001280
SCMH1,gene-MN116_005225
SCMH1,gene-MN116_001495
SCMH1,gene-MN116_001495
SCML2,gene-MN116_005225
SCML2,gene-MN116_001495
SCML2,gene-MN116_001495
SCML4,gene-MN116_005225
SCML4,gene-MN116_001495
SENP1,gene-MN116_001517
SENP3,gene-MN116_001517
SET,gene-MN116_002094
SETD1A,gene-MN116_003510
SETD1A,gene-MN116_001479
SETD1A,gene-MN116_001377
SETD1B,gene-MN116_003510
SETD1B,gene-MN116_001479
SETD1B,gene-MN116_001377
SETD2,gene-MN116_001377
SETD2,gene-MN116_001376
SETD2,gene-MN116_001503
SETD3,gene-MN116_007024
SETD3,gene-MN116_001377
SETD5,gene-MN116_001377
SETD6,gene-MN116_007024
SETD6,gene-MN116_001377
SETD7,gene-MN116_000897
SETD7,gene-MN116_001377
SETD8,gene-MN116_001377
SETDB1,gene-MN116_005459
SETDB1,gene-MN116_006071
SETDB1,gene-MN116_001377
SETDB2,gene-MN116_005459
SETDB2,gene-MN116_006071
SETDB2,gene-MN116_001377
SF3B1,gene-MN116_003259
SF3B3,gene-MN116_000900
SF3B3,gene-MN116_000900
SFMBT1,gene-MN116_005225
SFMBT1,gene-MN116_001495
SFMBT1,gene-MN116_001495
SFMBT2,gene-MN116_005225
SFMBT2,gene-MN116_001495
SFMBT2,gene-MN116_001495
SFSWAP,gene-MN116_004396
SFSWAP,gene-MN116_000837
SHPRH,gene-MN116_001389
SHPRH,gene-MN116_001999
SHPRH,gene-MN116_001315
